br_c,cop_c,zon_hlv,zon_mcls
A030038,A03,Z16,Z16004
A030039,A03,Z13,Z13004
A030040,A03,Z05,Z05008
A030041,A03,Z06,Z06013
A030042,A03,Z05,Z05015
A030043,A03,Z13,Z13004
A030044,A03,Z13,Z13001
A030045,A03,Z13,Z13002
A030046,A03,Z13,Z13005
A030047,A03,Z06,Z06013
A030048,A03,Z14,Z14008
A030049,A03,Z15,Z15002
A030050,A03,Z14,Z14007
A030051,A03,Z14,Z14005
A030052,A03,Z12,Z12017
A030053,A03,Z14,Z14002
A030054,A03,Z17,Z17015
A030055,A03,Z06,Z06004
A030056,A03,Z12,Z12005
A030057,A03,Z12,Z12015
A030058,A03,Z10,Z10038
A030059,A03,Z11,Z11010
A030060,A03,Z06,Z06012
A030061,A03,Z12,Z12019
A030062,A03,Z08,Z08014
A030063,A03,Z17,Z17013
A030064,A03,Z10,Z10037
A030065,A03,Z17,Z17016
A030066,A03,Z17,Z17001
A030067,A03,Z17,Z17010
A030068,A03,Z17,Z17009
A030069,A03,Z08,Z08015
A030070,A03,Z06,Z06009
A030071,A03,Z11,Z11017
A030072,A03,Z17,Z17004
A030073,A03,Z17,Z17018
A030074,A03,Z17,Z17015
A030075,A03,Z17,Z17019
A030076,A03,Z17,Z17022
A030077,A03,Z16,Z16010
A030078,A03,Z17,Z17018
A030079,A03,Z17,Z17017
A030080,A03,Z16,Z16010
A030081,A03,Z12,Z12017
A030082,A03,Z17,Z17014
A030083,A03,Z10,Z10038
A030084,A03,Z17,Z17014
A030085,A03,Z10,Z10023
A030086,A03,Z10,Z10041
A030087,A03,Z17,Z17009
A030088,A03,Z17,Z17024
A030089,A03,Z17,Z17015
A030090,A03,Z16,Z16001
A030091,A03,Z17,Z17014
A030092,A03,Z10,Z10017
A030093,A03,Z10,Z10030
A030094,A03,Z10,Z10042
A030095,A03,Z10,Z10040
A030096,A03,Z04,Z04004
A030097,A03,Z14,Z14004
A030098,A03,Z12,Z12001
A030099,A03,Z17,Z17004
A030100,A03,Z17,Z17016
A030101,A03,Z10,Z10008
A030102,A03,Z10,Z10007
A030103,A03,Z06,Z06012
A030104,A03,Z17,Z17004
A030105,A03,Z10,Z10044
A030106,A03,Z17,Z17025
A030107,A03,Z11,Z11024
A030108,A03,Z17,Z17017
A030109,A03,Z10,Z10022
A030110,A03,Z17,Z17001
A030111,A03,Z10,Z10023
A030112,A03,Z10,Z10017
A030113,A03,Z10,Z10017
A030114,A03,Z01,Z01018
A030115,A03,Z17,Z17018
A030116,A03,Z10,Z10006
A030117,A03,Z17,Z17005
A030118,A03,Z17,Z17018
A030119,A03,Z10,Z10020
A030120,A03,Z10,Z10035
A030121,A03,Z11,Z11023
A030122,A03,Z01,Z01017
A030123,A03,Z10,Z10035
A030124,A03,Z08,Z08007
A030125,A03,Z17,Z17014
A030126,A03,Z10,Z10038
A030127,A03,Z01,Z01007
A030128,A03,Z10,Z10028
A030129,A03,Z15,Z15003
A030130,A03,Z16,Z16009
A030131,A03,Z16,Z16004
A030132,A03,Z17,Z17021
A030133,A03,Z10,Z10009
A030134,A03,Z10,Z10024
A030135,A03,Z17,Z17004
A030136,A03,Z17,Z17019
A030137,A03,Z10,Z10045
A030138,A03,Z10,Z10046
A030139,A03,Z10,Z10017
A030140,A03,Z10,Z10026
A030141,A03,Z10,Z10006
A030142,A03,Z17,Z17001
A030143,A03,Z10,Z10024
A030144,A03,Z10,Z10017
A030145,A03,Z12,Z12013
A030146,A03,Z08,Z08011
A030147,A03,Z10,Z10025
A030148,A03,Z11,Z11012
A030149,A03,Z10,Z10011
A030150,A03,Z10,Z10011
A030151,A03,Z17,Z17009
A030152,A03,Z06,Z06013
A030153,A03,Z10,Z10021
A030154,A03,Z10,Z10007
A030155,A03,Z04,Z04007
A030156,A03,Z04,Z04006
A030157,A03,Z12,Z12019
A030158,A03,Z10,Z10019
A030159,A03,Z10,Z10038
A030160,A03,Z10,Z10040
A030161,A03,Z17,Z17014
A030162,A03,Z10,Z10041
A030163,A03,Z17,Z17019
A030164,A03,Z10,Z10013
A030165,A03,Z17,Z17004
A030166,A03,Z10,Z10037
A030167,A03,Z17,Z17013
A030168,A03,Z10,Z10011
A030169,A03,Z17,Z17015
A030170,A03,Z10,Z10034
A030171,A03,Z17,Z17001
A030172,A03,Z01,Z01014
A030173,A03,Z01,Z01005
A030174,A03,Z01,Z01004
A030175,A03,Z17,Z17001
A030176,A03,Z17,Z17020
A030177,A03,Z10,Z10040
A030178,A03,Z15,Z15003
A030179,A03,Z04,Z04004
A030180,A03,Z09,Z09014
A030181,A03,Z09,Z09014
A030182,A03,Z10,Z10013
A030183,A03,Z10,Z10043
A030184,A03,Z17,Z17022
A030185,A03,Z17,Z17014
A030186,A03,Z10,Z10047
A030187,A03,Z08,Z08015
A030188,A03,Z14,Z14007
A030189,A03,Z10,Z10009
A030190,A03,Z06,Z06013
A030191,A03,Z10,Z10011
A030192,A03,Z04,Z04002
A030193,A03,Z17,Z17010
A030194,A03,Z09,Z09009
A030195,A03,Z16,Z16008
A030196,A03,Z11,Z11008
A030197,A03,Z10,Z10021
A030198,A03,Z10,Z10011
A030199,A03,Z03,Z03003
A030200,A03,Z11,Z11004
A030201,A03,Z10,Z10011
A030202,A03,Z10,Z10002
A030203,A03,Z17,Z17007
A030204,A03,Z16,Z16003
A030205,A03,Z10,Z10002
A030206,A03,Z04,Z04004
A030207,A03,Z17,Z17001
A030208,A03,Z12,Z12013
A030209,A03,Z04,Z04009
A030210,A03,Z10,Z10025
A030211,A03,Z10,Z10010
A030212,A03,Z10,Z10011
A030213,A03,Z10,Z10047
A030214,A03,Z10,Z10003
A030215,A03,Z10,Z10002
A030216,A03,Z10,Z10041
A030217,A03,Z17,Z17004
A030218,A03,Z10,Z10003
A030219,A03,Z08,Z08007
A030220,A03,Z10,Z10020
A030221,A03,Z17,Z17002
A030222,A03,Z17,Z17001
A030223,A03,Z10,Z10024
A030224,A03,Z17,Z17015
A030225,A03,Z08,Z08011
A030226,A03,Z01,Z01014
A030227,A03,Z11,Z11001
A030228,A03,Z04,Z04008
A030229,A03,Z02,Z02001
A030230,A03,Z17,Z17007
A030231,A03,Z10,Z10047
A030232,A03,Z10,Z10017
A030233,A03,Z06,Z06013
A030234,A03,Z10,Z10047
A030235,A03,Z14,Z14004
A030236,A03,Z06,Z06013
A030237,A03,Z14,Z14003
A030238,A03,Z17,Z17023
A030239,A03,Z10,Z10041
A030240,A03,Z17,Z17001
A030241,A03,Z04,Z04008
A030242,A03,Z17,Z17018
A030243,A03,Z10,Z10047
A030244,A03,Z11,Z11010
A030245,A03,Z10,Z10017
A030246,A03,Z14,Z14003
A030247,A03,Z10,Z10018
A030248,A03,Z17,Z17018
A030249,A03,Z10,Z10024
A030250,A03,Z11,Z11012
A030251,A03,Z17,Z17002
A030252,A03,Z11,Z11010
A030253,A03,Z12,Z12017
A030254,A03,Z10,Z10018
A030255,A03,Z17,Z17013
A030256,A03,Z11,Z11004
A030257,A03,Z10,Z10013
A030258,A03,Z17,Z17015
A030259,A03,Z10,Z10006
A030260,A03,Z17,Z17018
A030261,A03,Z05,Z05011
A030262,A03,Z10,Z10008
A030263,A03,Z17,Z17001
A030264,A03,Z17,Z17015
A030265,A03,Z14,Z14007
A030266,A03,Z16,Z16014
A030267,A03,Z12,Z12015
A030268,A03,Z10,Z10037
A030269,A03,Z10,Z10039
A030270,A03,Z16,Z16004
A030271,A03,Z16,Z16012
A030272,A03,Z10,Z10003
A030273,A03,Z03,Z03001
A030274,A03,Z10,Z10047
A030275,A03,Z10,Z10044
A030276,A03,Z10,Z10039
A030277,A03,Z10,Z10021
A030278,A03,Z01,Z01006
A030279,A03,Z16,Z16002
A030280,A03,Z11,Z11004
A030281,A03,Z17,Z17018
A030282,A03,Z17,Z17018
A030283,A03,Z10,Z10027
A030284,A03,Z10,Z10046
A030285,A03,Z10,Z10039
A030286,A03,Z17,Z17001
A030287,A03,Z10,Z10011
A030288,A03,Z17,Z17018
A030289,A03,Z17,Z17018
A030290,A03,Z17,Z17018
A030291,A03,Z17,Z17018
A030292,A03,Z17,Z17018
A030293,A03,Z17,Z17018
A030294,A03,Z17,Z17018
A030295,A03,Z17,Z17018
A030296,A03,Z17,Z17018
A030297,A03,Z17,Z17018
A030298,A03,Z17,Z17018
A030299,A03,Z17,Z17018
A030300,A03,Z17,Z17018
A030301,A03,Z17,Z17018
A030302,A03,Z17,Z17018
A030303,A03,Z17,Z17018
A030304,A03,Z17,Z17018
A030305,A03,Z17,Z17018
A030306,A03,Z17,Z17018
A030307,A03,Z17,Z17018
A030308,A03,Z17,Z17018
A030309,A03,Z17,Z17018
A030310,A03,Z17,Z17018
A030311,A03,Z17,Z17018
A030312,A03,Z17,Z17018
A030313,A03,Z17,Z17018
A030314,A03,Z17,Z17018
A030315,A03,Z17,Z17018
A030316,A03,Z17,Z17018
A030317,A03,Z17,Z17018
A030318,A03,Z17,Z17018
A030319,A03,Z17,Z17018
A030320,A03,Z17,Z17018
A030321,A03,Z17,Z17018
A030322,A03,Z17,Z17018
A030323,A03,Z17,Z17018
A030324,A03,Z17,Z17018
A030325,A03,Z17,Z17018
A030326,A03,Z17,Z17018
A030327,A03,Z17,Z17018
A030328,A03,Z17,Z17018
A030329,A03,Z17,Z17018
A030330,A03,Z17,Z17018
A030331,A03,Z17,Z17018
A030332,A03,Z17,Z17018
A030333,A03,Z17,Z17018
A030334,A03,Z17,Z17018
A030335,A03,Z17,Z17018
A030336,A03,Z17,Z17018
A030337,A03,Z17,Z17018
A030338,A03,Z17,Z17018
A030339,A03,Z17,Z17018
A030340,A03,Z17,Z17018
A030341,A03,Z17,Z17018
A030342,A03,Z17,Z17018
A030343,A03,Z17,Z17018
A030344,A03,Z17,Z17018
A030345,A03,Z17,Z17018
A030346,A03,Z17,Z17018
A030347,A03,Z17,Z17018
A030348,A03,Z17,Z17018
A030349,A03,Z17,Z17018
A030350,A03,Z17,Z17018
A030351,A03,Z17,Z17018
A030352,A03,Z17,Z17018
A030353,A03,Z17,Z17018
A030354,A03,Z17,Z17018
A030355,A03,Z17,Z17018
A030356,A03,Z17,Z17018
A030357,A03,Z17,Z17018
A030358,A03,Z17,Z17018
A030359,A03,Z17,Z17018
A030360,A03,Z17,Z17018
A030361,A03,Z17,Z17018
A030362,A03,Z17,Z17018
A030363,A03,Z17,Z17018
A030364,A03,Z17,Z17018
A030365,A03,Z17,Z17018
A030366,A03,Z17,Z17018
A030367,A03,Z17,Z17018
A030368,A03,Z17,Z17018
A030369,A03,Z17,Z17018
A030370,A03,Z17,Z17018
A030371,A03,Z17,Z17018
A030372,A03,Z17,Z17018
A030373,A03,Z17,Z17018
A030374,A03,Z17,Z17018
A030375,A03,Z17,Z17018
A030376,A03,Z17,Z17018
A030377,A03,Z17,Z17018
A030378,A03,Z17,Z17018
A030379,A03,Z17,Z17018
A030380,A03,Z17,Z17018
A030381,A03,Z17,Z17018
A030382,A03,Z17,Z17018
A030383,A03,Z17,Z17018
A030384,A03,Z17,Z17018
A030385,A03,Z17,Z17018
A030386,A03,Z17,Z17018
A030387,A03,Z17,Z17018
A030388,A03,Z17,Z17018
A030389,A03,Z17,Z17018
A030390,A03,Z17,Z17018
A030391,A03,Z17,Z17018
A030392,A03,Z17,Z17018
A030393,A03,Z17,Z17018
A030394,A03,Z17,Z17018
A030395,A03,Z17,Z17018
A030396,A03,Z17,Z17018
A030397,A03,Z17,Z17018
A030398,A03,Z17,Z17018
A030399,A03,Z17,Z17018
A030400,A03,Z17,Z17018
A030401,A03,Z17,Z17018
A030402,A03,Z17,Z17018
A030403,A03,Z17,Z17018
A030404,A03,Z17,Z17018
A030405,A03,Z17,Z17018
A030406,A03,Z17,Z17018
A030407,A03,Z17,Z17018
A030408,A03,Z17,Z17018
A030409,A03,Z17,Z17018
A030410,A03,Z17,Z17018
A030411,A03,Z17,Z17018
A030412,A03,Z17,Z17018
A030413,A03,Z17,Z17018
A030414,A03,Z17,Z17018
A030415,A03,Z17,Z17018
A030416,A03,Z17,Z17018
A030417,A03,Z17,Z17013
A030418,A03,Z17,Z17004
A030419,A03,Z17,Z17008
A030420,A03,Z17,Z17011
A030421,A03,Z17,Z17024
A030422,A03,Z17,Z17018
A030423,A03,Z17,Z17021
A030424,A03,Z17,Z17001
A030425,A03,Z17,Z17001
A030426,A03,Z17,Z17018
A030427,A03,Z10,Z10002
A030428,A03,Z04,Z04006
A030429,A03,Z17,Z17010
A030430,A03,Z17,Z17017
A030431,A03,Z10,Z10022
A030432,A03,Z17,Z17014
A030433,A03,Z17,Z17009
A030434,A03,Z10,Z10022
A030435,A03,Z10,Z10038
A030436,A03,Z04,Z04009
A030437,A03,Z17,Z17018
A030438,A03,Z17,Z17022
A030439,A03,Z10,Z10040
A030440,A03,Z10,Z10003
A030441,A03,Z10,Z10019
A030442,A03,Z17,Z17018
A030443,A03,Z04,Z04009
A030444,A03,Z12,Z12016
A030445,A03,Z17,Z17009
A030446,A03,Z10,Z10020
A030447,A03,Z10,Z10028
A030448,A03,Z10,Z10025
A030449,A03,Z17,Z17001
A030450,A03,Z10,Z10026
A030451,A03,Z17,Z17001
A030452,A03,Z17,Z17023
A030453,A03,Z10,Z10023
A030454,A03,Z10,Z10037
A030455,A03,Z08,Z08009
A030456,A03,Z17,Z17001
A030457,A03,Z06,Z06013
A030458,A03,Z17,Z17022
A030459,A03,Z17,Z17014
A030460,A03,Z10,Z10021
A030461,A03,Z10,Z10018
A030462,A03,Z08,Z08011
A030463,A03,Z10,Z10010
A030464,A03,Z17,Z17015
A030465,A03,Z17,Z17009
A030466,A03,Z17,Z17001
A030467,A03,Z17,Z17018
A030468,A03,Z17,Z17018
A030469,A03,Z17,Z17018
A030470,A03,Z17,Z17018
A030471,A03,Z17,Z17018
A030472,A03,Z17,Z17018
A030473,A03,Z17,Z17018
A030474,A03,Z17,Z17018
A030475,A03,Z17,Z17018
A030476,A03,Z17,Z17018
A030477,A03,Z17,Z17018
A030478,A03,Z17,Z17018
A030479,A03,Z17,Z17018
A030480,A03,Z17,Z17018
A030481,A03,Z17,Z17018
A030482,A03,Z17,Z17018
A030483,A03,Z17,Z17018
A030484,A03,Z17,Z17018
A030485,A03,Z17,Z17018
A030486,A03,Z17,Z17018
A030487,A03,Z17,Z17018
A040001,A04,Z17,Z17003
A040002,A04,Z17,Z17003
A040003,A04,Z17,Z17003
A040004,A04,Z17,Z17009
A040005,A04,Z17,Z17009
A040006,A04,Z17,Z17009
A040007,A04,Z17,Z17009
A040008,A04,Z17,Z17025
A040009,A04,Z17,Z17025
A040010,A04,Z17,Z17025
A040011,A04,Z17,Z17011
A040012,A04,Z17,Z17011
A040013,A04,Z17,Z17011
A040014,A04,Z17,Z17017
A040015,A04,Z17,Z17017
A040016,A04,Z17,Z17017
A040017,A04,Z17,Z17017
A040018,A04,Z17,Z17017
A040019,A04,Z17,Z17017
A040020,A04,Z17,Z17017
A040021,A04,Z17,Z17023
A040022,A04,Z17,Z17023
A040023,A04,Z17,Z17022
A040024,A04,Z17,Z17022
A040025,A04,Z17,Z17022
A040026,A04,Z17,Z17022
A040027,A04,Z17,Z17014
A040028,A04,Z17,Z17014
A040029,A04,Z17,Z17013
A040030,A04,Z17,Z17013
A040031,A04,Z17,Z17013
A040032,A04,Z17,Z17013
A040033,A04,Z17,Z17013
A040034,A04,Z17,Z17013
A040035,A04,Z17,Z17013
A040036,A04,Z17,Z17013
A040037,A04,Z17,Z17021
A040038,A04,Z17,Z17021
A040039,A04,Z17,Z17021
A040040,A04,Z17,Z17024
A040041,A04,Z17,Z17024
A040042,A04,Z17,Z17024
A040043,A04,Z17,Z17016
A040044,A04,Z17,Z17016
A040045,A04,Z17,Z17016
A040046,A04,Z17,Z17016
A040047,A04,Z17,Z17006
A040048,A04,Z17,Z17002
A040049,A04,Z17,Z17002
A040050,A04,Z17,Z17002
A040051,A04,Z17,Z17002
A040052,A04,Z17,Z17002
A040053,A04,Z17,Z17018
A040054,A04,Z17,Z17018
A040055,A04,Z17,Z17018
A040056,A04,Z17,Z17018
A040057,A04,Z17,Z17018
A040058,A04,Z17,Z17018
A040059,A04,Z17,Z17018
A040060,A04,Z17,Z17018
A040061,A04,Z17,Z17001
A040062,A04,Z17,Z17001
A040063,A04,Z17,Z17001
A040064,A04,Z17,Z17001
A040065,A04,Z17,Z17001
A040066,A04,Z17,Z17001
A040067,A04,Z17,Z17001
A040068,A04,Z17,Z17001
A040069,A04,Z17,Z17015
A040070,A04,Z17,Z17015
A040071,A04,Z17,Z17015
A040072,A04,Z17,Z17012
A040073,A04,Z17,Z17012
A040074,A04,Z17,Z17012
A040075,A04,Z17,Z17012
A040076,A04,Z17,Z17020
A040077,A04,Z17,Z17004
A040078,A04,Z17,Z17004
A040079,A04,Z17,Z17004
A040080,A04,Z17,Z17004
A040081,A04,Z17,Z17004
A040082,A04,Z17,Z17004
A040083,A04,Z17,Z17004
A040084,A04,Z17,Z17004
A040085,A04,Z17,Z17004
A040086,A04,Z17,Z17004
A040087,A04,Z17,Z17004
A040088,A04,Z17,Z17019
A040089,A04,Z17,Z17019
A040090,A04,Z17,Z17019
A040091,A04,Z17,Z17007
A040092,A04,Z17,Z17007
A040093,A04,Z17,Z17007
A040094,A04,Z17,Z17008
A040095,A04,Z17,Z17008
A040096,A04,Z17,Z17008
A040097,A04,Z17,Z17008
A040098,A04,Z17,Z17008
A040099,A04,Z17,Z17005
A040100,A04,Z17,Z17005
A040101,A04,Z17,Z17005
A040102,A04,Z17,Z17005
A040103,A04,Z17,Z17024
A040104,A04,Z17,Z17024
A040105,A04,Z17,Z17024
A040106,A04,Z17,Z17024
A040107,A04,Z17,Z17024
A040108,A04,Z17,Z17024
A040109,A04,Z17,Z17024
A040110,A04,Z17,Z17024
A040111,A04,Z17,Z17024
A040112,A04,Z17,Z17024
A040113,A04,Z17,Z17024
A040114,A04,Z17,Z17024
A040115,A04,Z17,Z17024
A040116,A04,Z17,Z17024
A040117,A04,Z17,Z17024
A040118,A04,Z17,Z17024
A040119,A04,Z17,Z17024
A040120,A04,Z10,Z10010
A040121,A04,Z17,Z17024
A040122,A04,Z17,Z17024
A040123,A04,Z17,Z17024
A040124,A04,Z10,Z10010
A040125,A04,Z17,Z17024
A040126,A04,Z17,Z17024
A040127,A04,Z17,Z17024
A040128,A04,Z17,Z17024
A040129,A04,Z17,Z17024
A040130,A04,Z17,Z17024
A040131,A04,Z17,Z17024
A040132,A04,Z17,Z17024
A040133,A04,Z17,Z17024
A040134,A04,Z10,Z10010
A040135,A04,Z10,Z10010
A040136,A04,Z17,Z17024
A040137,A04,Z17,Z17024
A040138,A04,Z10,Z10010
A040139,A04,Z17,Z17024
A040140,A04,Z17,Z17024
A040141,A04,Z17,Z17024
A040142,A04,Z10,Z10010
A040143,A04,Z10,Z10010
A040144,A04,Z10,Z10010
A040145,A04,Z10,Z10010
A040146,A04,Z17,Z17024
A040147,A04,Z17,Z17024
A040148,A04,Z17,Z17024
A040149,A04,Z10,Z10010
A040150,A04,Z17,Z17024
A040151,A04,Z17,Z17024
A040152,A04,Z17,Z17024
A040153,A04,Z17,Z17024
A040154,A04,Z17,Z17024
A040155,A04,Z17,Z17024
A040156,A04,Z17,Z17024
A040157,A04,Z17,Z17024
A040158,A04,Z17,Z17024
A040159,A04,Z17,Z17024
A040160,A04,Z17,Z17024
A040161,A04,Z17,Z17024
A040162,A04,Z17,Z17024
A040163,A04,Z17,Z17024
A040164,A04,Z17,Z17024
A040165,A04,Z17,Z17024
A040166,A04,Z17,Z17024
A040167,A04,Z17,Z17024
A040168,A04,Z17,Z17024
A040169,A04,Z17,Z17024
A040170,A04,Z17,Z17024
A040171,A04,Z10,Z10010
A040172,A04,Z17,Z17024
A040173,A04,Z10,Z10010
A040174,A04,Z17,Z17024
A040175,A04,Z10,Z10010
A040176,A04,Z17,Z17024
A040177,A04,Z10,Z10010
A040178,A04,Z10,Z10010
A040179,A04,Z10,Z10010
A040180,A04,Z10,Z10010
A040181,A04,Z10,Z10004
A040182,A04,Z10,Z10003
A040183,A04,Z10,Z10003
A040184,A04,Z10,Z10003
A040185,A04,Z10,Z10002
A040186,A04,Z10,Z10003
A040187,A04,Z10,Z10003
A040188,A04,Z10,Z10003
A040189,A04,Z10,Z10003
A040190,A04,Z10,Z10004
A040191,A04,Z10,Z10003
A040192,A04,Z10,Z10003
A040193,A04,Z10,Z10003
A040194,A04,Z10,Z10002
A040195,A04,Z10,Z10002
A040196,A04,Z10,Z10002
A040197,A04,Z10,Z10002
A040198,A04,Z10,Z10002
A040199,A04,Z10,Z10002
A040200,A04,Z10,Z10002
A040201,A04,Z10,Z10002
A040202,A04,Z10,Z10043
A040203,A04,Z10,Z10043
