pd_c,pd_nm,clac_hlv_nm,clac_mcls_nm
PD0091,건새우,건해산물,건어물
PD0092,건홍합,건해산물,건어물
PD0093,건오징어,건해산물,건어물
PD0094,한치오징어,건해산물,건어물
PD0095,조미오징어,건해산물,건어물
PD0096,훈제/구이오징어,건해산물,건어물
PD0097,쥐치포,건해산물,건어물
PD0098,어포류,건해산물,건어물
PD0099,황태/북어류,건해산물,건어물
PD0100,황태채,건해산물,건어물
PD0101,어포채류,건해산물,건어물
PD0102,원물천연조미료,건해산물,건어물
PD0103,멸치선물세트,건해산물,건해산물선물세트
PD0104,김선물세트,건해산물,건해산물선물세트
PD0105,굴비선물세트,건해산물,건해산물선물세트
PD0106,반건생선선물세트,건해산물,건해산물선물세트
PD0107,기타건해산물선물세트,건해산물,건해산물선물세트
PD0108,굴비류,건해산물,반건생선
PD0109,과메기,건해산물,반건생선
PD0110,코다리,건해산물,반건생선
PD0111,반건오징어,건해산물,반건생선
PD0112,반건생선류,건해산물,반건생선
PD0113,마른김,건해산물,해조류
PD0114,조미전장김,건해산물,해조류
PD0115,조미도시락김,건해산물,해조류
PD0116,김자반/부각/튀각,건해산물,해조류
PD0117,건다시마,건해산물,해조류
PD0118,건미역,건해산물,해조류
PD0119,히터,계절가전,난방가전
PD0120,온풍기,계절가전,난방가전
PD0121,라디에이터,계절가전,난방가전
PD0122,전기요,계절가전,난방가전
PD0123,전기매트,계절가전,난방가전
PD0124,온수매트,계절가전,난방가전
PD0125,기타난방가전,계절가전,난방가전
PD0126,스탠드형에어컨,계절가전,냉방가전
PD0127,멀티형에어컨,계절가전,냉방가전
PD0128,벽걸이형에어컨,계절가전,냉방가전
PD0129,기타에어컨,계절가전,냉방가전
PD0130,선풍기,계절가전,냉방가전
PD0131,냉풍기,계절가전,냉방가전
PD0132,기타냉방가전,계절가전,냉방가전
PD0133,냉방가전소모품,계절가전,냉방가전
PD0134,수공구,공구/안전용품,공구
PD0135,전동공구,공구/안전용품,공구
PD0136,철물공구,공구/안전용품,공구
PD0137,페인트용품,공구/안전용품,보수용품
PD0138,장갑류,공구/안전용품,보수용품
PD0139,포장이사용품,공구/안전용품,보수용품
PD0140,접착제,공구/안전용품,보수용품
PD0141,후크류,공구/안전용품,보수용품
PD0142,보안용품,공구/안전용품,안전용품
PD0143,화재안전용품,공구/안전용품,안전용품
PD0144,금고,공구/안전용품,안전용품
PD0145,전기자재,공구/안전용품,전기용품
PD0146,멀티탭,공구/안전용품,전기용품
PD0147,건전지,공구/안전용품,전기용품
PD0148,충전지,공구/안전용품,전기용품
PD0149,곶감,과일,건과일
PD0150,건포도,과일,건과일
PD0151,건망고,과일,건과일
PD0152,기타건과일,과일,건과일
PD0153,밤,과일,견과류
PD0154,땅콩,과일,견과류
PD0155,호두,과일,견과류
PD0156,잣,과일,견과류
PD0157,마카다미아,과일,견과류
PD0158,피스타치오,과일,견과류
PD0159,아몬드,과일,견과류
PD0160,캐슈넛,과일,견과류
PD0161,혼합견과,과일,견과류
PD0162,기타견과류,과일,견과류
PD0163,사과선물세트,과일,과일선물세트
PD0164,배선물세트,과일,과일선물세트
PD0165,혼합과일선물세트,과일,과일선물세트
PD0166,곶감선물세트,과일,과일선물세트
PD0167,기타과일선물세트,과일,과일선물세트
PD0168,사과,과일,국산과일
PD0169,배,과일,국산과일
PD0170,감,과일,국산과일
PD0171,귤류,과일,국산과일
PD0172,유자/모과,과일,국산과일
PD0173,복숭아,과일,국산과일
PD0174,자두,과일,국산과일
PD0175,살구,과일,국산과일
PD0176,매실,과일,국산과일
PD0177,딸기,과일,국산과일
PD0178,포도,과일,국산과일
PD0179,무화과,과일,국산과일
PD0180,석류,과일,국산과일
PD0181,수박,과일,국산과일
PD0182,참외,과일,국산과일
PD0183,메론,과일,국산과일
PD0184,토마토,과일,국산과일
PD0185,방울토마토,과일,국산과일
PD0186,기타국산과일류,과일,국산과일
PD0187,냉동망고,과일,냉동과일
PD0188,냉동베리류,과일,냉동과일
PD0189,냉동홍시,과일,냉동과일
PD0190,기타냉동과일류,과일,냉동과일
PD0191,냉동채소,과일,냉동과일
PD0192,블루베리,과일,수입과일
PD0193,수입포도,과일,수입과일
PD0194,레몬,과일,수입과일
PD0195,망고,과일,수입과일
PD0196,망고스틴,과일,수입과일
PD0197,바나나,과일,수입과일
PD0198,아보카도,과일,수입과일
PD0199,오렌지,과일,수입과일
PD0200,용과,과일,수입과일
PD0201,자몽,과일,수입과일
PD0202,체리,과일,수입과일
PD0203,키위,과일,수입과일
PD0204,파인애플,과일,수입과일
PD0205,기타수입과일,과일,수입과일
PD0206,간편과일,과일,수입과일
PD0207,맛밤류,과자,간식/안주형과자
PD0208,안주용육포류,과자,간식/안주형과자
PD0209,기타간식/안주형과자,과자,간식/안주형과자
PD0210,과자세트,과자,과자세트
PD0211,전통과자세트,과자,과자세트
PD0212,사탕/캔디세트,과자,과자세트
PD0213,초콜릿세트,과자,과자세트
PD0214,일반껌,과자,껌
PD0215,기능성껌,과자,껌
PD0216,풍선껌,과자,껌
PD0217,크래커,과자,비스킷류
PD0218,쿠키,과자,비스킷류
PD0219,샌드,과자,비스킷류
PD0220,스틱과자,과자,비스킷류
PD0221,하드캔디,과자,사탕/캔디
PD0222,소프트캔디,과자,사탕/캔디
PD0223,젤리,과자,사탕/캔디
PD0224,양갱,과자,사탕/캔디
PD0225,캐러멜,과자,사탕/캔디
PD0226,토이캔디,과자,사탕/캔디
PD0227,기능성캔디,과자,사탕/캔디
PD0228,감자스낵,과자,스낵류
PD0229,고구마스낵,과자,스낵류
PD0230,옥수수스낵,과자,스낵류
PD0231,쌀스낵,과자,스낵류
PD0232,일반스낵,과자,스낵류
PD0233,영양바,과자,스낵류
PD0234,팝콘,과자,스낵류
PD0235,과일스낵,과자,스낵류
PD0236,한과,과자,전통과자류
PD0237,기타전통과자,과자,전통과자류
PD0238,판초콜릿,과자,초콜릿
PD0239,쉘초콜릿,과자,초콜릿
PD0240,바초콜릿,과자,초콜릿
PD0241,쿠키케이크,과자,파이류
PD0242,파이,과자,파이류
PD0243,골프채,구기/필드스포츠,골프
PD0244,골프채세트,구기/필드스포츠,골프
PD0245,골프공,구기/필드스포츠,골프
PD0246,골프화,구기/필드스포츠,골프
PD0247,골프필드용품,구기/필드스포츠,골프
PD0248,골프장갑,구기/필드스포츠,골프
PD0249,골프가방,구기/필드스포츠,골프
PD0250,골프패션잡화,구기/필드스포츠,골프
PD0251,골프연습장비,구기/필드스포츠,골프
PD0252,기타구기/필드스포츠용품,구기/필드스포츠,기타구기/필드스포츠
PD0253,농구공,구기/필드스포츠,농구
PD0254,농구복,구기/필드스포츠,농구
PD0255,농구화,구기/필드스포츠,농구
PD0256,기타농구용품,구기/필드스포츠,농구
PD0257,배구공,구기/필드스포츠,배구
PD0258,배드민턴라켓,구기/필드스포츠,배드민턴
PD0259,배드민턴셔틀콕,구기/필드스포츠,배드민턴
PD0260,배드민턴복,구기/필드스포츠,배드민턴
PD0261,배드민턴화,구기/필드스포츠,배드민턴
PD0262,기타배드민턴용품,구기/필드스포츠,배드민턴
PD0263,야구글러브,구기/필드스포츠,야구
PD0264,야구공,구기/필드스포츠,야구
PD0265,야구배트,구기/필드스포츠,야구
PD0266,기타야구용품,구기/필드스포츠,야구
PD0267,축구화,구기/필드스포츠,축구
PD0268,축구공,구기/필드스포츠,축구
PD0269,축구용보호대,구기/필드스포츠,축구
PD0270,축구양말,구기/필드스포츠,축구
PD0271,기타축구용품,구기/필드스포츠,축구
PD0272,축구복,구기/필드스포츠,축구
PD0273,탁구대,구기/필드스포츠,탁구
PD0274,탁구라켓,구기/필드스포츠,탁구
PD0275,탁구공,구기/필드스포츠,탁구
PD0276,기타탁구용품,구기/필드스포츠,탁구
PD0277,테니스라켓,구기/필드스포츠,테니스
PD0278,테니스공,구기/필드스포츠,테니스
PD0279,테니스화,구기/필드스포츠,테니스
PD0280,기타테니스용품,구기/필드스포츠,테니스
PD0281,기타보험,금융/보험서비스,보험
PD0282,봉투보증금,기타(비상품),기타
PD0283,기타,기타(비상품),기타
PD0284,컴퓨터/노트북기프트,기타(비상품),기프트
PD0285,렌탈수수료,기타(비상품),렌탈수수료
PD0286,유지보수품,기타(비상품),소모품
PD0287,공병/공박스,기타(비상품),용기보증금
PD0288,임대매출,기타(비상품),임대매출
PD0289,특판,기타상품,특판
PD0290,남성티셔츠,남성의류,남성의류상의
PD0291,남성정장셔츠,남성의류,남성의류상의
PD0292,남성남방셔츠,남성의류,남성의류상의
PD0293,남성베스트,남성의류,남성의류상의
PD0294,남성가디건,남성의류,남성의류상의
PD0295,남성스웨터/풀오버,남성의류,남성의류상의
PD0296,남성스웨트셔츠/후드/집업,남성의류,남성의류상의
PD0297,남성정장세트,남성의류,남성의류세트
PD0298,기타남성의류세트,남성의류,남성의류세트
PD0299,남성코트,남성의류,남성의류아우터
PD0300,남성정장재킷,남성의류,남성의류아우터
PD0301,남성캐주얼재킷,남성의류,남성의류아우터
PD0302,남성패딩,남성의류,남성의류아우터
PD0303,남성점퍼,남성의류,남성의류아우터
PD0304,남성사파리,남성의류,남성의류아우터
PD0305,남성트렌치코트,남성의류,남성의류아우터
PD0306,기타남성의류아우터,남성의류,남성의류아우터
PD0307,남성점프수트/오버롤,남성의류,남성의류전신
PD0308,남성정장바지,남성의류,남성의류하의
PD0309,남성캐주얼바지,남성의류,남성의류하의
PD0310,남성청바지,남성의류,남성의류하의
PD0311,남성패션트레이닝복,남성의류,남성특수목적의류
PD0312,남성학생복,남성의류,남성특수목적의류
PD0313,남성코스튬,남성의류,남성특수목적의류
PD0314,기타남성특수목적의류,남성의류,남성특수목적의류
PD0315,남성피혁의류,남성의류,남성특수소재의류
PD0316,냉동밥,냉동식품,냉동간편식
PD0317,냉동면,냉동식품,냉동간편식
PD0318,냉동만두,냉동식품,냉동간편식
PD0319,냉동피자,냉동식품,냉동간편식
PD0320,냉동핫도그,냉동식품,냉동간편식
PD0321,냉동튀김,냉동식품,냉동간편식
PD0322,냉동부침,냉동식품,냉동간편식
PD0323,냉동국탕류,냉동식품,냉동간편식
PD0324,냉동디저트,냉동식품,냉동간편식
PD0325,냉동떡볶이,냉동식품,냉동간편식
PD0326,기타냉동간편식,냉동식품,냉동간편식
PD0327,냉동간편식세트,냉동식품,냉동간편식
PD0328,바아이스크림,냉동식품,아이스크림
PD0329,튜브아이스크림,냉동식품,아이스크림
PD0330,콘아이스크림,냉동식품,아이스크림
PD0331,모나카,냉동식품,아이스크림
PD0332,컵아이스크림,냉동식품,아이스크림
PD0333,홈아이스크림,냉동식품,아이스크림
PD0334,아이스크림케이크,냉동식품,아이스크림
PD0335,얼음,냉동식품,아이스크림
PD0336,일반형냉장고,냉장/세탁가전,냉장/냉동고
PD0337,양문형냉장고,냉장/세탁가전,냉장/냉동고
PD0338,뚜껑형김치냉장고,냉장/세탁가전,냉장/냉동고
PD0339,스탠드형김치냉장고,냉장/세탁가전,냉장/냉동고
PD0340,업소용냉장고,냉장/세탁가전,냉장/냉동고
PD0341,기타냉장고,냉장/세탁가전,냉장/냉동고
PD0342,냉동고,냉장/세탁가전,냉장/냉동고
PD0343,냉장/냉동가전소모품,냉장/세탁가전,냉장/냉동고
PD0344,일반세탁기,냉장/세탁가전,세탁기
PD0345,드럼세탁기,냉장/세탁가전,세탁기
PD0346,건조기,냉장/세탁가전,세탁기
PD0347,세탁기소모품,냉장/세탁가전,세탁기
PD0348,냉장밥/죽,냉장식품,냉장간편식
PD0349,냉장면,냉장식품,냉장간편식
PD0350,냉장떡,냉장식품,냉장간편식
PD0351,냉장간편떡볶이,냉장식품,냉장간편식
PD0352,냉장장류,냉장식품,냉장간편식
PD0353,냉장드레싱,냉장식품,냉장간편식
PD0354,냉장핫도그/핫바류,냉장식품,냉장간편식
PD0355,냉장치킨족발류,냉장식품,냉장간편식
PD0356,냉장국탕류,냉장식품,냉장간편식
PD0357,냉장안주,냉장식품,냉장간편식
PD0358,기타냉장간편식,냉장식품,냉장간편식
PD0359,냉장커피차음료,냉장식품,냉장음료
PD0360,냉장과일야채음료,냉장식품,냉장음료
PD0361,냉장곡물견과음료,냉장식품,냉장음료
PD0362,푸딩/젤리,냉장식품,디저트
PD0363,빵/케이크,냉장식품,디저트
PD0364,어묵,냉장식품,어묵/맛살
PD0365,맛살,냉장식품,어묵/맛살
PD0366,곤약,냉장식품,어묵/맛살
PD0367,유부,냉장식품,어묵/맛살
PD0368,김밥재료세트,냉장식품,어묵/맛살
PD0369,절임반찬,냉장식품,포장반찬
PD0370,김치류,냉장식품,포장반찬
PD0371,조림반찬,냉장식품,포장반찬
PD0372,볶음반찬,냉장식품,포장반찬
PD0373,무침반찬,냉장식품,포장반찬
PD0374,젓갈,냉장식품,포장반찬
PD0375,단무지,냉장식품,포장반찬
PD0376,햄,냉장식품,햄/소시지
PD0377,햄선물세트,냉장식품,햄/소시지
PD0378,베이컨,냉장식품,햄/소시지
PD0379,소시지,냉장식품,햄/소시지
PD0380,수입담배,담배,일반담배
PD0381,국산담배,담배,일반담배
PD0382,담배관련용품,담배,일반담배
PD0383,전자담배용리필,담배,전자담배
PD0384,전자담배용기기/악세서리,담배,전자담배
PD0385,시가/기타특수담배,담배,특수담배
PD0386,국수,대용식,건면
PD0387,당면,대용식,건면
PD0388,파스타류,대용식,건면
PD0389,냉면,대용식,건면
PD0390,쌈/또띠아,대용식,건면
PD0391,건우동,대용식,건면
PD0392,기타건면,대용식,건면
PD0393,즉석카레짜장,대용식,레토르트
PD0394,즉석덮밥류,대용식,레토르트
PD0395,즉석밥,대용식,레토르트
PD0396,즉석컵밥,대용식,레토르트
PD0397,즉석죽,대용식,레토르트
PD0398,즉석스프,대용식,레토르트
PD0399,즉석누룽지,대용식,레토르트
PD0400,즉석면류,대용식,레토르트
PD0401,즉석국/찌개,대용식,레토르트
PD0402,기타레토르트,대용식,레토르트
PD0403,국물봉지라면,대용식,봉지라면
PD0404,비빔봉지라면,대용식,봉지라면
PD0405,분말카레짜장,대용식,분말조리식
PD0406,분말죽,대용식,분말조리식
PD0407,분말스프,대용식,분말조리식
PD0408,식빵,대용식,빵
PD0409,일반빵,대용식,빵
PD0410,호빵찐빵,대용식,빵
PD0411,일반시리얼,대용식,시리얼
PD0412,기능성시리얼,대용식,시리얼
PD0413,국물용기라면,대용식,용기라면
PD0414,비빔용기라면,대용식,용기라면
PD0415,휴대폰,모바일,모바일기기
PD0416,기타모바일기기,모바일,모바일기기
PD0417,모바일배터리/충전기,모바일,모바일액세서리
PD0418,이어폰/헤드폰,모바일,모바일액세서리
PD0419,케이스/보호필름,모바일,모바일액세서리
PD0420,기타모바일액세서리,모바일,모바일액세서리
PD0421,광학기기/과학상자,문구/사무용품,교육보조재
PD0422,놀이도구,문구/사무용품,교육보조재
PD0423,자석놀이,문구/사무용품,교육보조재
PD0424,지구의/지도,문구/사무용품,교육보조재
PD0425,기타교육보조재,문구/사무용품,교육보조재
PD0426,학습악기류,문구/사무용품,교육보조재
PD0427,다이어리,문구/사무용품,노트
PD0428,수첩메모,문구/사무용품,노트
PD0429,일반노트,문구/사무용품,노트
PD0430,초등노트,문구/사무용품,노트
PD0431,물감,문구/사무용품,미술용품
PD0432,색연필,문구/사무용품,미술용품
PD0433,파스텔,문구/사무용품,미술용품
PD0434,크레파스,문구/사무용품,미술용품
PD0435,붓,문구/사무용품,미술용품
PD0436,채색도구,문구/사무용품,미술용품
PD0437,스케치북,문구/사무용품,미술용품
PD0438,도화지/미술용지,문구/사무용품,미술용품
PD0439,색종이,문구/사무용품,미술용품
PD0440,조각/만들기용품,문구/사무용품,미술용품
PD0441,제본기,문구/사무용품,사무기기
PD0442,절단기,문구/사무용품,사무기기
PD0443,파쇄기,문구/사무용품,사무기기
PD0444,포스트잇,문구/사무용품,사무용지/서식지
PD0445,견출지/분류스티커,문구/사무용품,사무용지/서식지
PD0446,봉투류,문구/사무용품,사무용지/서식지
PD0447,서식지,문구/사무용품,사무용지/서식지
PD0448,라벨/전용지,문구/사무용품,사무용지/서식지
PD0449,복사용지,문구/사무용품,사무용지/서식지
PD0450,코팅필름,문구/사무용품,사무용지/서식지
PD0451,테이프,문구/사무용품,일반문구/사무용품
PD0452,풀,문구/사무용품,일반문구/사무용품
PD0453,펀치류,문구/사무용품,일반문구/사무용품
PD0454,스테이플러,문구/사무용품,일반문구/사무용품
PD0455,집게/클립,문구/사무용품,일반문구/사무용품
PD0456,칼/가위,문구/사무용품,일반문구/사무용품
PD0457,자/제도용품,문구/사무용품,일반문구/사무용품
PD0458,전자계산기,문구/사무용품,일반문구/사무용품
PD0459,싸인물/자석/압핀,문구/사무용품,일반문구/사무용품
PD0460,보드류,문구/사무용품,일반문구/사무용품
PD0461,파일/바인더,문구/사무용품,일반문구/사무용품
PD0462,서류정리용품,문구/사무용품,일반문구/사무용품
PD0463,책상정리용품,문구/사무용품,일반문구/사무용품
PD0464,독서대,문구/사무용품,일반문구/사무용품
PD0465,명함정리용품,문구/사무용품,일반문구/사무용품
PD0466,기타일반문구/사무용품,문구/사무용품,일반문구/사무용품
PD0467,문구세트,문구/사무용품,일반문구/사무용품
PD0468,앨범,문구/사무용품,파티/팬시용품
PD0469,패션스티커,문구/사무용품,파티/팬시용품
PD0470,편지지/편지봉투,문구/사무용품,파티/팬시용품
PD0471,카드,문구/사무용품,파티/팬시용품
PD0472,포장용품,문구/사무용품,파티/팬시용품
PD0473,쇼핑백,문구/사무용품,파티/팬시용품
PD0474,불꽃놀이,문구/사무용품,파티/팬시용품
PD0475,파티장식/소품,문구/사무용품,파티/팬시용품
PD0476,풍선,문구/사무용품,파티/팬시용품
PD0477,크리스마스용품,문구/사무용품,파티/팬시용품
PD0478,할로윈용품,문구/사무용품,파티/팬시용품
PD0479,화투/카드,문구/사무용품,파티/팬시용품
PD0480,기타파티/팬시용품,문구/사무용품,파티/팬시용품
PD0481,연필,문구/사무용품,필기도구
PD0482,볼펜,문구/사무용품,필기도구
PD0483,만년필,문구/사무용품,필기도구
PD0484,매직/보드마카,문구/사무용품,필기도구
PD0485,형광펜,문구/사무용품,필기도구
PD0486,사인펜,문구/사무용품,필기도구
PD0487,샤프/샤프심,문구/사무용품,필기도구
PD0488,필통,문구/사무용품,필기도구
PD0489,연필깎이,문구/사무용품,필기도구
PD0490,수정용품,문구/사무용품,필기도구
PD0491,필기도구소모품,문구/사무용품,필기도구
PD0492,필기구세트,문구/사무용품,필기도구
PD0493,채소병통조림,병통조림,농산물병통조림
PD0494,과일병통조림,병통조림,농산물병통조림
PD0495,햄통조림세트,병통조림,병통조림선물세트
PD0496,참치통조림세트,병통조림,병통조림선물세트
PD0497,통조림혼합세트,병통조림,병통조림선물세트
PD0498,참치통조림,병통조림,수산물통조림
PD0499,골뱅이통조림,병통조림,수산물통조림
PD0500,꽁치고등어통조림,병통조림,수산물통조림
PD0501,기타수산통조림,병통조림,수산물통조림
PD0502,과일잼,병통조림,잼
PD0503,스프레드,병통조림,잼
PD0504,햄통조림,병통조림,축산물통조림
PD0505,닭고기통조림,병통조림,축산물통조림
PD0506,기타축산통조림,병통조림,축산물통조림
PD0507,백화점/마트모바일상품권,상품권,모바일상품권
PD0508,영화/문화모바일상품권,상품권,모바일상품권
PD0509,레저모바일상품권,상품권,모바일상품권
PD0510,생활모바일상품권,상품권,모바일상품권
PD0511,식음료모바일상품권,상품권,모바일상품권
PD0512,온라인/모바일컨텐츠,상품권,모바일상품권
PD0513,교통카드판매,상품권,생활요금상품판매/충전
PD0514,영화/문화/도서상품권,상품권,지류상품권
PD0515,외식/음료/디저트상품권,상품권,지류상품권
PD0516,제화/패션/주유상품권,상품권,지류상품권
PD0517,악기/교육렌탈,생활/렌탈서비스,렌탈서비스
PD0518,안마의자/헬스/이미용렌탈,생활/렌탈서비스,렌탈서비스
PD0519,그림/인테리어렌탈,생활/렌탈서비스,렌탈서비스
PD0520,자동차/레저렌탈,생활/렌탈서비스,렌탈서비스
PD0521,택배,생활/렌탈서비스,생활서비스
PD0522,복권판매,생활/렌탈서비스,생활서비스
PD0523,배달서비스,생활/렌탈서비스,생활서비스
PD0524,이사/청소/수선/세탁서비스,생활/렌탈서비스,생활서비스
PD0525,문화/스포츠센터,생활/렌탈서비스,생활서비스
PD0526,도서/교육,생활/렌탈서비스,생활서비스
PD0527,핸드폰충전,생활/렌탈서비스,생활서비스
PD0528,사진인화서비스,생활/렌탈서비스,생활서비스
PD0529,기타생활서비스,생활/렌탈서비스,생활서비스
PD0530,제습기,생활/주방가전,공기청정/가습/제습
PD0531,가습기,생활/주방가전,공기청정/가습/제습
PD0532,공기청정기,생활/주방가전,공기청정/가습/제습
PD0533,에어워셔,생활/주방가전,공기청정/가습/제습
PD0534,다리미,생활/주방가전,생활가전
PD0535,의류스타일러,생활/주방가전,생활가전
PD0536,보풀제거기,생활/주방가전,생활가전
PD0537,비데,생활/주방가전,생활가전
PD0538,연수기,생활/주방가전,생활가전
PD0539,헤어드라이어,생활/주방가전,이미용가전
PD0540,고데기,생활/주방가전,이미용가전
PD0541,헤어세팅기,생활/주방가전,이미용가전
PD0542,헤어롤,생활/주방가전,이미용가전
PD0543,이발기,생활/주방가전,이미용가전
PD0544,전기면도기,생활/주방가전,이미용가전
PD0545,제모기,생활/주방가전,이미용가전
PD0546,기타이미용가전,생활/주방가전,이미용가전
PD0547,전화기,생활/주방가전,전화기
PD0548,전기밥솥,생활/주방가전,주방가전
PD0549,전기찜기,생활/주방가전,주방가전
PD0550,전기튀김기,생활/주방가전,주방가전
PD0551,오븐/전자레인지,생활/주방가전,주방가전
PD0552,전기프라이팬,생활/주방가전,주방가전
PD0553,전기그릴,생활/주방가전,주방가전
PD0554,인덕션/가스레인지,생활/주방가전,주방가전
PD0555,전기냄비/뚝배기,생활/주방가전,주방가전
PD0556,커피메이커/포트,생활/주방가전,주방가전
PD0557,커피머신,생활/주방가전,주방가전
PD0558,블랜더,생활/주방가전,주방가전
PD0559,토스터/제빵기,생활/주방가전,주방가전
PD0560,요구르트/청국장제조기,생활/주방가전,주방가전
PD0561,기타주방가전,생활/주방가전,주방가전
PD0562,정수기,생활/주방가전,주방가전
PD0563,식기세척기,생활/주방가전,주방가전
PD0564,식기건조기,생활/주방가전,주방가전
PD0565,음식물건조기,생활/주방가전,주방가전
PD0566,일반청소기,생활/주방가전,청소기
PD0567,로봇청소기,생활/주방가전,청소기
PD0568,핸디형청소기,생활/주방가전,청소기
PD0569,스팀청소기,생활/주방가전,청소기
PD0570,물걸레청소기,생활/주방가전,청소기
PD0571,침구청소기,생활/주방가전,청소기
PD0572,기타청소기,생활/주방가전,청소기
PD0573,유아서적,서적/음반/악기,서적
PD0574,아동서적,서적/음반/악기,서적
PD0575,일반서적,서적/음반/악기,서적
PD0576,참고서/수험서,서적/음반/악기,서적
PD0577,신문/잡지,서적/음반/악기,서적
PD0578,서적세트,서적/음반/악기,서적
PD0579,현악기,서적/음반/악기,악기
PD0580,관악기,서적/음반/악기,악기
PD0581,타악기,서적/음반/악기,악기
PD0582,건반악기,서적/음반/악기,악기
PD0583,국악악기,서적/음반/악기,악기
PD0584,전자악기,서적/음반/악기,악기
PD0585,악기부품/액세서리,서적/음반/악기,악기
PD0586,음반,서적/음반/악기,음반/영상물
PD0587,영상물,서적/음반/악기,음반/영상물
PD0588,방향제,세제/위생,방향/제습/탈취제
PD0589,탈취제,세제/위생,방향/제습/탈취제
PD0590,섬유용탈취제,세제/위생,방향/제습/탈취제
PD0591,제습제,세제/위생,방향/제습/탈취제
PD0592,파리/모기살충제,세제/위생,살충/방충제
